id,"type","manufacturer","model","code",engine_quantity,"engine_type","weight_class","descent_rate","service_ceiling","cruise_tas","created_at","updated_at"
1,"F","ADAM AIRCRAFT","CARBON AERO","A500",2,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"F","AERMACCHI","AMX","AMX",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
3,"F","AERMACCHI","RIVIERA","FN33",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
4,"F","AERMACCHI","REDIGO","L90",1,"T","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
5,"F","AERMACCHI","MB-326","M32",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"F","AERMACCHI","MB-339","M339",1,"J","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
7,"F","AERMACCHI","SF-205-18F/20F","S05F",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"F","AERMACCHI","SF-205-18R/20R/22R","S05R",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
9,"F","AERMACCHI","S-208","S208",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
10,"F","AERMACCHI","S-211","S211",1,"T","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
11,"F","AERMACCHI","WARRIOR","F260",1,"P","S","","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
12,"F","AERMACCHI","SF-260TP","F26T",1,"T","S","1800","1100","","0000-00-00 00:00:00","0000-00-00 00:00:00"
13,"F","AERMACCHI","CANGUERO","F600",2,"T","S","2100","","","0000-00-00 00:00:00","0000-00-00 00:00:00"
14,"F","AERO SPACELINES","SUPPER GUPPY","SGUP",4,"T","L","1500","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
15,"F","AÉROSPATIALE","ATR-42-200/300/320","AT43",2,"T","L","2000","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
16,"F","AÉROSPATIALE","ATR-42-400","AT44",2,"T","L","2000","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
17,"F","AÉROSPATIALE","ATR-42-500","AT45",2,"T","L","2000","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
18,"F","AÉROSPATIALE","ATR-72","AT72",2,"T","L","2000","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
19,"F","AÉROSPATIALE","RALLYE","RALL",1,"P","S","750","750","","0000-00-00 00:00:00","0000-00-00 00:00:00"
20,"F","AÉROSPATIALE","CARAVELLE","S210",2,"J","L","2300","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
21,"F","AÉROSPATIALE","CORVETTE","S601",2,"J","S","2500","2000","","0000-00-00 00:00:00","0000-00-00 00:00:00"
22,"F","AÉROSPATIALE","TAMPICO TB-9","TAMP",1,"P","S","600","700","","0000-00-00 00:00:00","0000-00-00 00:00:00"
23,"F","AÉROSPATIALE","TBM-700","TBM7",1,"T","S","1700","1500","","0000-00-00 00:00:00","0000-00-00 00:00:00"
24,"F","AÉROSPATIALE","TABAGO TB10C/200","TOBA",1,"P","S","700","700","","0000-00-00 00:00:00","0000-00-00 00:00:00"
