id,"icao","iata","name","radio","website","logo",duration,new,"created_at","updated_at"
1,"AAA",NULL,"Ansett Australia","Ansett",NULL,"EzB8ZSzuWEn3jGMvgpqmYNlaAtAgOmk4",207870,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
2,"AAG",NULL,"Air Atlantique","Atlantic",NULL,"Gk2IGf8WwxnFcweUlyFCmVosW1bfEyPP",18850,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
3,"AAH",NULL,"Aloha Airlines","Aloha",NULL,"5PjVIZARGxYcZO4SmvreMpbxlEXRvd8z",30733,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
4,"AAL",NULL,"American Airlines","American",NULL,"FtYQDdsV167m5exJidOj9x2EyRuCVbT6",27696835,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
5,"AAR","OZ","Asiana Airlines","Asiana","http://flyasiana.com","zey0xLRC7SuiBr6QhPKFGj668izfSaUb",922234,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
6,"ABB",NULL,"Air Belgium","Air Belgium",NULL,"HihuGyYVLEb0OC38yqciVs1apaLono8y",639,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
7,"ABD",NULL,"Air Atlanta Icelandic","Atlanta",NULL,"GDt2ARwQVeRGHFhyckAqD9hfTylKWmfE",88917,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
8,"ABQ",NULL,"Albion Air Cargo","Albion",NULL,"YSQnTT5YsnXciriDaK99Gzm8P91ErEXk",10836,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
9,"ABR",NULL,"Air Contractors","Contract",NULL,"tndCtiDAdWn7SX79I5ZBiMzaD4qrsibt",79392,0,"0000-00-00 00:00:00","2014-08-10 19:54:59"
10,"ABX",NULL,"Airborne Express","Abex",NULL,"gVUMexx7z9wMZheFxIYYFEMjYa9NdKzN",87276,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
11,"ABY",NULL,"Air Arabia","Arabia",NULL,"sLAJvpmZ9LchmNIZkXe5E6IC8i74r2Ko",14510,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
12,"ACA","AC","Air Canada","Air Canada","http://www.aircanada.com/","hDbb4NwxQtWiop54oaURmfVMyYkavgxo",6657240,0,"0000-00-00 00:00:00","2014-08-20 07:53:28"
13,"ACD",NULL,"Air Canadian","Air Canadian",NULL,"bmkGQgM989eQwlS6vUCZF2Xbg9JaGY8V",346103,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
14,"ACE",NULL,"Air Cargo Express","Air Cargo",NULL,"CNPCmV0aZwj0bjdcwwfuRSDJJHXCcRji",7599,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
15,"ACQ",NULL,"Aero Continente","Aero Continente",NULL,"4wFdShyxr0JHrsbENevjtQ1vCRcLtYjR",30265,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
16,"ADB",NULL,"Antonov Design Bureau","Antonov",NULL,"7j0nkcEQLyi1bMp8WdcJ1SDX35z3WlPj",58325,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
17,"ADH",NULL,"Air One","Heron",NULL,"AujNeAMBjEMELqx803UbyoSIWuhmO83a",35577,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
18,"ADN",NULL,"Aerodienst","Aerodienst",NULL,"x0gEDXepePP7u41i9U75cs4H8ijmdVaP",63376,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
19,"ADO",NULL,"Air Do","Air Do",NULL,"P9aCVjIlwG8QYfbs8Km0bPAc8K1bXpqY",12567,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
20,"ADR",NULL,"Adria Airways","Adria",NULL,"Vvw8X7Vnwp44JkeSv2iIsE94cqVLUMJf",117840,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
21,"ADV",NULL,"AirDolomiti Virtual","AirDolomiti",NULL,"rfDGZWTHyYNfTeMTDBBoLtKlIGq5qtf2",4483,0,"0000-00-00 00:00:00","2014-08-10 19:55:00"
22,"AEA",NULL,"Air Europa","Air Europa",NULL,"5h12dqvGQPaPGHyR2ijc9MdoQbmRghHt",459133,0,"0000-00-00 00:00:00","2014-08-10 19:55:01"
23,"AEB",NULL,"AEBR - Aero Brasil","",NULL,"dN8IGEgdvyAPMact3h3s7etP4qzb1Zyg",0,0,"0000-00-00 00:00:00","2014-08-10 19:55:01"
