id,"code","name"
1,"AGGG","Honiara"
2,"ANAU","Nauru"
3,"AYPM","Port Moresby"
4,"BGGL","Sondrestrom"
5,"BGG1","Sondre Stromfjord"
6,"BIRD","Reykjavik"
7,"CZEG","Edmonton"
8,"CZQM","Moncton"
9,"CZQX","Gander"
10,"CZUL","Montreal"
11,"CZVR","Vancouver"
12,"CZWG","Winnipeg"
13,"CZYZ","Toronto"
14,"DAAA","Algier"
15,"DGAC","Accra"
16,"DIII","Abidjan"
17,"DNKK","Kano"
18,"DRRR","Niamey"
19,"DTTC","Tunis"
20,"EBBU","Brussel"
21,"EBUR","Brussels Upper"
22,"EDBB","Berlin"
23,"EDFF","Frankfurt"
24,"EDGG","Langen"
25,"EDLL","Duesseldorf"
26,"EDMM","Muenchen"
27,"EDUU","Rhein UIR"
28,"EDVV","Hannover UIR"
29,"EDWW","Bremen"
30,"EETT","Tallinn"
31,"EFES","Tampere"
32,"EFPS","Rovaniemi"
33,"EGCC","Manchester"
34,"EGNV","Pennine Radar"
35,"EGGX","Shanwick Oceanic"
36,"EGG1","Shanwick"
37,"EGG2","Shanwick Clearance Delivery"
38,"EGG3","Shanwick Oceanic Routing Clearance Authority"
39,"EGG4","Shanwick Oceanic Clearance Delivery"
40,"EGJJ","Jersey Zone"
41,"EGPX","Scottish"
42,"EGTT","London"
43,"EGVV","Swanick Military"
44,"EGWD","London Military"
45,"EGUJ","Neatishead Air Defence"
46,"EGQN","Buchan Air Defence"
47,"EGQQ","Scottish Military"
48,"EGOM","Spadeadam Range"
49,"EHAA","Amsterdam"
50,"EHMC","Dutch Mil (Military)"
51,"EHML","Bandbox CRC (Military)"
52,"EIDW","Dublin"
53,"EISN","Shannon"
54,"EKDK","Kobenhavn"
55,"ENBD","Bodo"
56,"ENOB","Bodo Oceanic"
57,"ENOS","Oslo"
58,"ENSV","Stavanger"
59,"ENTR","Trondheim"
60,"EPWW","Warszawa"
61,"ESAA","Sweden (Suecia)"
62,"ESSA","Stockholm"
63,"ESGG","Goteborg"
64,"ESMS","Malmo"
65,"ESUN","Sundsvall"
66,"EVRR","Riga"
67,"EYVL","Vilnius"
68,"FABL","Bloemfontein"
69,"FACT","Cape Town"
70,"FAJO","Johannesburg Oceanic"
71,"FAJS","Johannesburg"
72,"FBGR","Gaborone"
73,"FCCC","Brazzaville"
74,"FIMM","Mauritius"
75,"FLFI","Lusaka"
76,"FMMM","Antananarivo"
77,"FNAN","Luanda"
78,"FQBE","Beira"
79,"FSSS","Seychelles"
80,"FTTT","N'Djamena"
81,"FVHA","Harare"
82,"FWLL","Lilongwe"
83,"FYWH","Windhoek"
84,"FZZA","Kinshasa"
85,"GCCC","Canarias"
86,"GLRB","Roberts"
87,"GMMM","Casablanca"
88,"GOOO","Dakar"
89,"GVSC","SAL Oceanic"
90,"HAAA","Addis Ababa"
91,"HBBA","Bujumbura"
92,"HCSM","Mogadishu"
93,"HECC","Cairo"
94,"HHAA","Asmara"
95,"HKNA","Nairobi"
96,"HLLL","Tripoli"
97,"HLLB","Benina"
98,"HRYR","Kigali"
99,"HSSS","Khartoum"
100,"HTDC","Dar-Es-salaam"
101,"HUEC","Entebbe"
102,"KZAB","Albuquerque"
103,"KZAU","Chicago"
104,"KZBW","Boston"
105,"KZDC","Washington"
106,"KZDV","Denver"
107,"KZFW","Fort Worth"
108,"KZHU","Houston"
109,"KZID","Indianapolis"
110,"KZJX","Jacksonville"
111,"KZKC","Kansas City"
112,"KZLA","Los Angeles"
113,"KZLC","Salt Lake City"
114,"KZMA","Miami"
115,"KZMO","Miami Oceanic"
116,"KZME","Memphis"
117,"KZMP","Minneapolis"
118,"KZNY","New York"
119,"KZOA","Oakland"
120,"KZAK","Oakland Oceanic"
121,"KZA1","San Francisco Oceanic"
122,"KZOB","Cleveland"
123,"KZSE","Seattle"
124,"KZTL","Atlanta"
125,"LAAA","Tirana"
126,"LBSR","Sofia"
127,"LBWR","Varna"
128,"LCCC","Nicosia"
129,"LDZO","Zagreb"
130,"LECB","Barcelona"
131,"LECM","Madrid"
132,"LECS","Sevilla"
133,"LECL","Valencia"
134,"LECP","Palma"
135,"LFBB","Bordeaux"
136,"LFEE","Reims"
137,"LFFF","Paris"
138,"LFMM","Marseille"
139,"LFRR","Brest"
140,"LFUB","Bordeaux Upper"
141,"LFUE","Reims Upper"
142,"LFUM","Marseilles Upper"
143,"LFUP","Paris Upper"
144,"LFUR","Brest Upper"
145,"LGGG","Athens"
146,"LGMD","Makedonia"
147,"LHCC","Budapest"
148,"LIBB","Brindisi"
149,"LIMM","Milano"
150,"LIMG","Albenga"
151,"LIPP","Padova"
152,"LIRR","Roma"
153,"LJLA","Ljubljana"
154,"LKAA","Praha"
155,"LLLL","Tel Aviv"
156,"LLSC","Tel Aviv South Control"
157,"LLPL","Pluto"
158,"LLGV","Hagav"
159,"LMMM","Malta"
160,"LOVV","Wien"
161,"LPPC","Lisboa"
162,"LPPO","Santa Maria"
163,"LPAM","Lisboa Military"
164,"LQSB","Sarajevo"
165,"LRBB","Bucharest"
166,"LSAS","Switzerland"
167,"LSAG","Geneva"
168,"LSAZ","Zurich"
169,"LTAA","Ankara"
170,"LTBB","Istanbul"
171,"LUKK","Chisinau"
172,"LWSS","Skopje"
173,"LYBA","Beograd"
174,"LZBB","Bratislava"
175,"MDCS","Santo Domingo"
176,"MHTG","Central America"
177,"MKJK","Kingston"
178,"MMEX","Mexico"
179,"MMID","Merida"
180,"MMTY","Monterrey"
181,"MMZT","Mazatlan"
182,"MPZL","Panama"
183,"MTEG","Port AU Prince"
184,"MUFH","Havanna"
185,"MYNN","Nassau"
186,"NFFF","Nadi Oceanic"
187,"NFFN","Nadi"
188,"NVVV","Vila Control"
189,"NWWW","Noumea Control"
190,"NSTU","Pago Pago"
191,"NTTT","Tahiti Oceanic"
192,"NZZC","New Zealand"
193,"NZZO","Auckland Oceanic"
194,"NZCA","Christchurch (Auckland)"
195,"NZCW","Christchurch (Wellington)"
196,"NZCN","Christchurch (North)"
197,"NZCS","Christchurch (South)"
198,"NZOH","Ohakea"
199,"NZCM","McMurdo"
200,"NZAA","Auckland"
201,"NZCH","Christchurch"
202,"NZWN","Wellington"
203,"OAKX","Kabul"
204,"OBBB","Bahrain"
205,"OEJD","Jeddah"
206,"OIIX","Tehran"
207,"OJAC","Amman"
208,"OKAC","Kuwait"
209,"OLBA","Beirut"
210,"OMAE","Emirates"
211,"OOMM","Muscat"
212,"OPKR","Karachi"
213,"OPLR","Lahore"
214,"ORBS","Baghdad"
215,"OSTT","Damascus"
216,"OYSC","Sanaa"
217,"PAZA","Anchorage"
218,"PGZU","Guam"
219,"PHZH","Honolulu"
220,"RCAA","Taipei"
221,"RJCG","Sapporo"
222,"RJDG","Fukuoka"
223,"RJTG","Tokyo"
224,"RKRR","Incheon"
225,"RORG","Naha"
226,"RPHI","Manila"
227,"SACF","Cordoba"
228,"SAEF","Ezeiza"
229,"SAMF","Mendoza"
230,"SARR","Resistencia"
231,"SAVF","Comodoro Rivadavia"
232,"SBAZ","Amaz?nica"
233,"SBBL","Belem"
234,"SBBS","Brasilia"
235,"SBCW","Curitiba"
236,"SBMU","Manaus"
237,"SBAO","Atlantico"
238,"SBPH","Porto Velho"
239,"SBRE","Recife"
240,"SCCZ","Punta Arenas"
241,"SCEZ","Santiago"
242,"SCFZ","Antofagosta"
243,"SCIZ","Easter"
244,"SCTZ","Puerto Mont"
245,"SEGU","Guayaquil"
246,"SGFA","Asuncion"
247,"SKEC","Barranquilla"
248,"SKED","Bogota"
249,"SLLF","La Paz"
250,"SMPM","Paramaribo"
251,"SOOO","Rochambeau"
252,"SPIM","Lima"
253,"SPI1","Lima North"
254,"SPI2","Lima South"
255,"SPI3","Lima North East"
256,"SUEO","Montevideo"
257,"SVZM","Maiquetia"
258,"SYGC","Georgetown"
259,"TJZS","San Juan Oceanic"
260,"TNCF","Curacao"
261,"TTZP","Piarco"
262,"UAAA","Almaty"
263,"UACC","Astana"
264,"UAFM","Bishkek"
265,"UAFO","Osh"
266,"UAII","Shymkent"
267,"UAOO","Kyzylorda"
268,"UASS","Semipalatinsk"
269,"UATE","Aktau"
270,"UATT","Aktyubinsk"
271,"UBBA","Baku"
272,"UDDD","Yerevan"
273,"UEEE","Yakutsk"
274,"UELL","Chulman"
275,"UEMO","Olekminsk Auxiliary"
276,"UENN","Nyurba Auxiliary"
277,"UERP","Polyarny Auxiliary"
278,"UERR","Mirny"
279,"UESS","Chersky"
280,"UEST","Tiksi"
