id,airline_id,user_id,"key","value",status,"created_at","updated_at"
7,1077,1239916,"radio","Express India",1,"2014-07-01 21:09:49","2014-07-18 16:09:25"
8,1077,1239916,"website","http://www.airindiaexpress.in/",1,"2014-07-01 21:09:49","2014-07-18 16:09:25"
9,1078,1239916,"radio","Deccan",1,"2014-07-01 21:11:00","2014-07-18 16:11:16"
10,1078,1239916,"website","http://www.deccanair.com/",1,"2014-07-01 21:11:00","2014-07-18 16:11:16"
14,1079,1239916,"radio","FALCON AVIATION",1,"2014-07-01 21:23:56","2014-07-18 16:10:11"
15,1079,1239916,"website","http://www.falconaviation.ae/",1,"2014-07-01 21:23:56","2014-07-18 16:10:11"
16,1080,1239916,"radio","MIDEXCARGO",1,"2014-07-01 21:25:14","2014-07-18 16:12:03"
17,1080,1239916,"website","http://www.midexairlines.com/",1,"2014-07-01 21:25:14","2014-07-18 16:12:03"
18,1081,1239916,"radio","EASTERN SKYJETS",1,"2014-07-01 21:27:53","2014-07-18 16:12:48"
19,1081,1239916,"website","http://esj.aero/",1,"2014-07-01 21:27:53","2014-07-18 16:12:48"
20,1082,1239916,"radio","AL-RAIS CARGO",0,"2014-07-01 21:29:45","2014-07-01 21:29:45"
21,1082,1239916,"website","http://www.alraiscargo.co.ae/",0,"2014-07-01 21:29:45","2014-07-01 21:29:45"
22,1083,1239916,"radio","ROTANA",1,"2014-07-01 21:31:40","2014-07-18 16:13:24"
23,1083,1239916,"website","http://www.rotanajet.com/",1,"2014-07-01 21:31:40","2014-07-18 16:13:24"
24,1084,1239916,"radio","AIR COSTA",1,"2014-07-01 21:41:07","2014-07-18 16:13:48"
25,1084,1239916,"website","http://www.aircosta.in/ebooking/home/default.aspx",1,"2014-07-01 21:41:07","2014-07-18 16:13:48"
30,1087,1239916,"radio","QATAR CARGO",1,"2014-07-01 21:50:09","2014-07-18 16:14:25"
31,1087,1239916,"website","http://www.qrcargo.com/",1,"2014-07-01 21:50:09","2014-07-18 16:14:25"
38,1088,1182181,"radio","Air Crete",1,"2014-07-07 04:50:05","2014-07-18 16:15:21"
39,1088,1182181,"website","http://www.facebook.com/205234122834477",1,"2014-07-07 04:50:05","2014-07-18 16:15:21"
40,1089,1207870,"radio","ArizAir",1,"2014-07-11 20:01:03","2014-07-18 16:16:48"
41,1089,1207870,"website","http://en.wikipedia.org/wiki/Arizona_Airways_(1993%E2%80%931996)",1,"2014-07-11 20:01:03","2014-07-18 16:16:48"
