id,airport_id,user_id,"key","value",status,"created_at","updated_at"
1,16326,1032361,"city","Leicester",1,"2014-06-23 22:03:58","2014-08-03 00:51:20"
23,16499,1006200,"elevation","242 Runway 11/29 does not exist anymore. DEB 1006200, ACCIRL6",-1,"2014-07-05 21:18:06","2014-08-03 00:50:25"
24,45822,1066135,"city","Lesja",1,"2014-07-16 09:34:14","2014-07-16 13:49:13"
25,45822,1066135,"country_id","no",1,"2014-07-16 09:34:14","2014-07-16 13:49:13"
26,45822,1066135,"lat","62.235",1,"2014-07-16 09:34:14","2014-07-16 13:49:13"
27,45822,1066135,"lon","8.246667",1,"2014-07-16 09:34:14","2014-07-16 13:49:13"
28,45822,1066135,"elevation","1915",1,"2014-07-16 09:34:14","2014-07-16 13:49:13"
29,16339,1254369,"type","small_airport",-1,"2014-07-21 17:10:38","2014-08-03 01:03:05"
30,32608,1254369,"type","small_airport",-1,"2014-07-21 17:11:08","2014-08-03 01:02:09"
31,41360,904310,"icao","UTFF",1,"2014-07-22 15:32:17","2014-08-03 01:06:05"
32,41360,904310,"type","medium_airport",1,"2014-07-22 15:32:17","2014-08-03 01:06:05"
33,41359,904310,"icao","UTFA",1,"2014-07-22 15:32:55","2014-08-03 01:04:22"
34,41359,904310,"type","medium_airport",1,"2014-07-22 15:32:55","2014-08-03 01:04:22"
35,41362,904310,"icao","UTFN",1,"2014-07-22 15:33:24","2014-08-03 01:06:39"
36,41362,904310,"type","medium_airport",1,"2014-07-22 15:33:24","2014-08-03 01:06:39"
37,41372,904310,"iata","ZFN",-1,"2014-07-24 19:43:34","2014-08-03 01:09:56"
38,41372,904310,"name","Zarafshan",1,"2014-07-24 19:43:34","2014-08-03 01:09:56"
39,41372,904310,"lat","41.613715813",1,"2014-07-24 19:43:34","2014-08-03 01:09:56"
40,41372,904310,"lon","64.23316285",1,"2014-07-24 19:43:34","2014-08-03 01:09:56"
41,41372,904310,"elevation","1615",1,"2014-07-24 19:43:34","2014-08-03 01:09:56"
42,45830,1277323,"lat","31",1,"2014-07-26 05:21:04","2014-08-03 01:33:15"
43,45830,1277323,"lon","85",1,"2014-07-26 05:21:04","2014-08-03 01:33:15"
44,45832,1243185,"city","Frenchman",1,"2014-07-29 02:27:15","2014-08-03 01:26:45"
45,45832,1243185,"lat","3914.100000",1,"2014-07-29 02:27:15","2014-08-03 01:26:45"
46,45832,1243185,"lon","11814.690000",1,"2014-07-29 02:27:15","2014-08-03 01:26:46"
47,45832,1243185,"elevation","4283",1,"2014-07-29 02:27:16","2014-08-03 01:26:46"
48,16278,1090420,"country_id","gb",1,"2014-07-29 19:59:23","2014-08-03 00:51:44"
49,16251,1259796,"type","medium_airport",-1,"2014-08-01 17:45:08","2014-08-03 01:02:41"
50,45833,1169898,"name","HAMMAMET",-1,"2014-08-03 01:21:16","2014-08-03 01:21:37"
51,45833,1169898,"city","Enfidha Tun",-1,"2014-08-03 01:21:16","2014-08-03 01:21:37"
52,45833,1169898,"country_id","tn",1,"2014-08-03 01:21:16","2014-08-03 01:21:31"
53,16943,1262692,"city","Kiruna",1,"2014-08-03 15:07:23","2014-08-04 00:40:23"
54,45836,1283735,"name","Francisco de Matos Pereira Airport",1,"2014-08-03 23:24:38","2014-08-04 00:42:08"
55,45839,1239300,"city","Vozdvizhenka",0,"2014-08-06 07:17:31","2014-08-06 07:17:31"
56,45839,1239300,"city","Vozdvizhenka",0,"2014-08-06 07:22:09","2014-08-06 07:22:09"
57,45839,1239300,"city","Vozdvizhenka",0,"2014-08-06 07:22:26","2014-08-06 07:22:26"
58,45839,1239300,"city","Vozdvizhenka",0,"2014-08-06 08:45:46","2014-08-06 08:45:46"
59,45839,1239300,"elevation","131",0,"2014-08-06 08:45:46","2014-08-06 08:45:46"
60,45839,1239300,"city","Vozdvizhenka",0,"2014-08-06 08:46:00","2014-08-06 08:46:00"
61,45839,1239300,"city","Vozdvizhenka",0,"2014-08-06 08:46:34","2014-08-06 08:46:34"
62,45839,1239300,"elevation","131",0,"2014-08-06 08:46:34","2014-08-06 08:46:34"
63,45841,1239300,"elevation","673",0,"2014-08-06 08:53:07","2014-08-06 08:53:07"
64,45839,1239300,"elevation","121",0,"2014-08-08 09:03:21","2014-08-08 09:03:21"
65,45840,1239300,"city","Tsentral'naya Uglovaya",0,"2014-08-08 09:04:41","2014-08-08 09:04:41"
66,45840,1239300,"city","Tsentral'naya Uglovaya",0,"2014-08-08 09:04:50","2014-08-08 09:04:50"
67,28191,1272203,"icao","MPPA",0,"2014-08-08 14:28:50","2014-08-08 14:28:50"
68,41313,1239300,"name","Mary-North",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
69,41313,1239300,"city","Mary-North",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
70,41313,1239300,"country_id","tm",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
71,41313,1239300,"lat","37.664347",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
72,41313,1239300,"lon","61.826981",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
73,41313,1239300,"elevation","218",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
74,41313,1239300,"type","medium_airport",-1,"2014-08-09 16:33:59","2014-08-12 17:09:47"
75,41313,1239300,"name","Mary-North",-1,"2014-08-09 16:45:05","2014-08-12 17:09:47"
76,41313,1239300,"city","Mary-North",-1,"2014-08-09 16:45:06","2014-08-12 17:09:47"
77,41313,1239300,"country_id","tm",-1,"2014-08-09 16:45:06","2014-08-12 17:09:47"
78,41313,1239300,"lat","37.664347",-1,"2014-08-09 16:45:06","2014-08-12 17:09:47"
79,41313,1239300,"lon","61.826981",-1,"2014-08-09 16:45:06","2014-08-12 17:09:47"
80,41313,1239300,"elevation","718",-1,"2014-08-09 16:45:06","2014-08-12 17:09:47"
81,41313,1239300,"type","medium_airport",-1,"2014-08-09 16:45:06","2014-08-12 17:09:47"
82,45867,1200420,"lon","-122.0915",0,"2014-08-11 13:32:22","2014-08-11 13:32:22"
83,45867,1200420,"lon","122.0915",0,"2014-08-11 13:42:15","2014-08-11 13:42:15"
84,45867,1200420,"lon","-0122.0915",0,"2014-08-11 13:42:26","2014-08-11 13:42:26"
85,45867,1200420,"lon","-57.9085",0,"2014-08-11 13:44:16","2014-08-11 13:44:16"
86,45867,1200420,"lat","48.5076",0,"2014-08-11 13:47:06","2014-08-11 13:47:06"
87,45867,1200420,"lon","-122.0915",0,"2014-08-11 13:47:07","2014-08-11 13:47:07"
88,45867,1200420,"lon","-121.091500",0,"2014-08-11 13:47:18","2014-08-11 13:47:18"
89,45867,1200420,"lon","122.0915",0,"2014-08-11 13:47:32","2014-08-11 13:47:32"
90,45867,1200420,"lon","-122.0915",0,"2014-08-11 13:47:47","2014-08-11 13:47:47"
91,45867,1200420,"lon","-122.0915",0,"2014-08-11 13:48:31","2014-08-11 13:48:31"
92,45867,1200420,"lon","0122.091500",0,"2014-08-11 13:48:51","2014-08-11 13:48:51"
93,45867,1200420,"lon","122549",0,"2014-08-11 13:49:01","2014-08-11 13:49:01"
94,45867,1200420,"lon","-1225.49",0,"2014-08-11 13:49:11","2014-08-11 13:49:11"
95,26669,1009874,"name","Flugrettungszentrum ÖAMTC und Flugpolizei Heliport",0,"2014-08-14 21:30:07","2014-08-14 21:30:07"
96,45839,1239300,"city","Vozdvizhenka",0,"2014-08-16 14:05:02","2014-08-16 14:05:02"
97,45839,1239300,"city","Vozdvizhenka",0,"2014-08-16 14:05:09","2014-08-16 14:05:09"
98,45839,1239300,"city","Vozdvizhenka",0,"2014-08-16 14:05:26","2014-08-16 14:05:26"
