id,"airport_id","ident_a","ident_b",length,width,threshold_a,threshold_b,heading_a,heading_b,lat_a,lon_a,lat_b,lon_b
1,"00A","H1","",80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"00AK","N","S",2500,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"00AL","01","19",2300,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"00AR","H1","H1",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"00AZ","15","33",1700,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"00CA","04","22",6000,80,NULL,NULL,50,NULL,35.349300,-116.893000,35.360300,-116.878000
7,"00CO","16","34",3900,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"00FA","08","26",3200,100,NULL,800,NULL,NULL,NULL,NULL,NULL,NULL
9,"00FD","H1","",74,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"00FL","12","30",4090,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"00GA","09","27",2600,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"00GE","H1","",125,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"00HI","H1","",1155,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"00ID","08","26",3300,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"00ID","11","29",2700,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"00IL","18","36",2500,75,290,350,NULL,NULL,NULL,NULL,NULL,NULL
17,"00IN","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"00IS","E","W",1600,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"00KS","17","35",2600,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"00KY","01","19",2100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"00LA","H1","",40,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"00LL","H1","",25,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"00LS","18","36",2600,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"00MD","14","32",1700,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"00MI","H1","",100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"00MN","06","24",2949,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"00MO","08","26",2400,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
